,id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL
65,1,16.05.2016,0.0,1.7,39.2,10.96,2.28,0.016,358.4,0.109,1872.36
66,1,07.09.2016,0.513,5.12,72.0,8.96,1.0,0.117,691.0,0.503,4759.43
67,1,08.11.2016,0.26,1.44,20.3,11.63,2.09,0.036,576.0,0.26,3243.15
68,1,06.02.2017,0.061,6.66,36.8,17.44,1.6,0.077,307.2,0.35,1277.61
69,1,11.05.2017,0.37,1.0,32.8,9.13,1.2,0.015,320.0,0.073,1586.48
70,1,05.09.2017,0.11,4.84,76.4,6.05,1.85,0.24,697.6,0.44,4534.8
71,1,13.11.2017,0.158,3.36,44.8,11.2,1.6,0.108,550.4,0.221,3107.83
72,1,14.02.2018,0.034,4.3,83.0,13.59,1.72,0.045,358.4,0.303,1761.5
73,1,24.05.2018,0.042,3.74,56.4,11.76,3.03,0.033,467.2,0.052,2449.03
74,1,26.09.2018,0.061,2.32,72.4,7.36,0.51,0.382,716.8,0.504,4496.04
75,1,11.12.2018,0.318,2.66,22.4,10.6,3.4,0.168,518.4,0.623,2671.77
76,2,15.02.2000,0.08,0.51,8.8,25.7,9.5,0.041,65.3,0.073,44.1
77,2,17.04.2000,0.176,2.41,0.0,12.44,3.8,0.032,76.8,0.046,35.8
78,2,04.07.2000,0.165,1.36,3.2,9.12,2.1,0.037,86.0,0.47,44.0
79,2,01.11.2000,0.074,0.31,14.0,11.15,2.88,0.038,69.1,0.354,44.6
80,2,11.03.2001,0.066,4.56,26.4,14.3,6.56,0.042,66.6,0.0,46.0
81,2,03.05.2001,0.0,1.8,6.0,12.8,4.2,0.027,77.4,0.11,39.0
82,2,06.08.2001,0.12,3.22,8.0,10.97,1.82,0.022,50.0,0.596,36.2
83,2,05.11.2001,0.063,1.74,0.0,11.9,5.9,0.021,54.4,0.331,40.4
84,2,05.02.2002,0.147,4.3,9.0,24.5,8.1,0.053,512.0,0.145,40.4
85,2,14.05.2002,0.03,2.3,8.0,10.43,3.4,0.023,80.6,0.14,41.4
86,2,01.08.2002,0.132,2.34,25.0,7.81,1.74,0.012,50.6,0.499,37.6
87,2,04.11.2002,0.059,1.84,10.0,11.77,4.52,0.02,54.4,0.143,40.4
88,2,12.03.2003,0.285,2.97,28.6,19.0,8.2,0.042,87.7,0.128,40.4
89,2,10.06.2003,0.077,2.8,8.0,18.01,0.7,0.039,80.6,0.02,34.6
90,2,12.09.2003,0.041,1.92,18.3,12.1,3.0,0.068,78.2,0.18,36.1
91,2,10.12.2003,0.051,1.74,4.2,14.3,2.7,0.018,90.2,0.21,48.5
92,2,13.01.2004,0.046,0.98,17.2,16.28,9.34,0.042,95.04,0.33,51.64
93,2,06.04.2004,0.096,3.85,32.0,10.57,4.97,0.048,85.1,0.003,43.03
94,2,10.08.2004,0.028,2.5,9.5,8.0,3.08,0.038,94.0,0.4,51.3
95,2,19.10.2004,0.016,2.1,10.8,10.61,5.88,0.074,135.8,0.74,39.7
96,2,13.01.2005,0.0,2.09,4.4,13.83,6.24,0.031,112.8,0.22,46.8
